"Description","Industry","Org Id","Created At","Specialities","Website","Slug","Country","Size","Enrich Company","Locality","Updated At","Employee Count","Company URL"
"Zomatos mission statement is better food for more people. Since our inception in 2010, we have grown tremendously, both in scope and scale - and emerged as Indias most trusted brand during the pandemic, along with being one of the largest hyperlocal delivery networks in the country.

Today, Zomato represents a wide range of cultures through its diversified 5000+ team members, 3.5 lakh+ delivery partners, and our biggest collective of the finest restaurant partners. We are grateful that our business is able to provide upward social and economic movement for millions of households  of our delivery partners, as well as restaurant staff. We think of all of us as one big family!

Our passion is driven by purpose and we take immense pride in our initiative Feeding India, one of Indias largest not-for-profits working to ensure that nobody in India goes to bed hungry. As of now, Feeding India provides over 150,000 nutritious meals to the underprivileged every day.

In April 2020, Feeding India ran one of the largest food distribution drives in the world during the first wave of COVID, and distributed 78 million meals to daily wagers across the length and breadth of the country.

During the second wave of COVID-19, Feeding India was again the first to act. We were able to source over 9,000 oxygen concentrators and distributed them for free to government hospitals across the country. This helped save millions of lives during one of the worst humanitarian crises faced by India in the recent times.

Were innovating hard to make last-mile delivery carbon neutral, to eliminate the use of plastic packaging, create meaningful opportunities in the gig economy, and to feed our countrys ever-growing appetite for high-quality, affordable, and hygienic food, one delivery at a time!",,422813,"2023-10-02T05:48:12.662Z","Startups, Sustainability, Sales, Ecommerce, Food, Delivery, Operations, Technology, Engineering, Internet services, Farming, Logistics, Digital advertising, New business development, Online Classifieds, Restaurant Search & Discovery, Table Reservations, Restaurant POS System, Food ordering online, Ingredients supply, Online consumer insights, Restaurant Rating and Reviews","zomato.com","zomato","IN","1,001-5,000 employees","Zomato","Gurugram, Haryana","2023-10-02T17:10:49.292Z",10929,"https://www.linkedin.com/company/zomato/"
"101Reporters.com, our unique news platform that sources original stories from grassroots reporters across the country, then customises and markets them to the national and international media. We are the only organisation operating in this unexplored media space. 

The platform works as an interface between independent reporters and publishers for sale of stories. Stories sourced from our reporters on ground is edited and verified by a team of qualified and experience editors before sending them to publishers. We have partnered with 14 publications.

We already have presence in more than 250 districts in the country. In coming 6months, we are hoping to spread our network to all 600 districts in the country.","Media Production",7576600,"2023-10-02T05:48:12.662Z","Media","101reporters.com","101reporters","IN","2-10 employees","101Reporters","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",31,"http://linkedin.com/company/101reporters"
"1DigitalStack provides technology for brand growth on Ecommerce marketplaces. We help brands dominate Ecommerce by leveraging marketplace data & AI-enabled media management. Our technology ensures a virtuous cycle of growth for Ecommerce business by combining publicly available data & brand proprietary data. 
Our tech product includes 2 solution suites: Revstack & Reviniti - to help brands with actionable insights & media strategy execution. We also provide analyst support as per client requirements.
We work on all Ecommerce marketplaces across the world, crawling more than 2 TB of data every day. Our clients are present across 11+ countries, including India, US, Germany, UK, Japan, UAE, Indonesia,  Thailand, Malaysia, Vietnam, Philippines & South Korea. 
We have helped large brands like HP, Phillips, Nestle, Glanbia, etc. & D2C brands on Ecommerce with a typical client engagement delivering 2X5X growth in market share over two quarters with an approx. 28% reduction in cost of sales.","Advertising Services",42776170,"2023-10-02T05:48:12.662Z","ecommerce, optimization, amazon, web traffic, discoverability, buyability, media deployment","1digitalstack.ai","1digitalstack","SG","51-200 employees","1digitalstack.ai","Singapore","2023-10-02T17:10:49.292Z",78,"http://www.linkedin.com/company/1digitalstack"
"1K is a hyperlocal omnichannel grocery chain focused on fulfilling the aspirations of 'Real Bharat'.

We believe that to create wow micro-experiences for the consumers, kirana entrepreneurs need the means to use technology as an enabler. With the changing consumer aspirations, the kirana entrepreneurs also aspire for more. 

Fuelled by the ambition of building Bharat's first omnichannel distribution network that brings consumers' aspirations closer to them, 1K is blazing the path to modernizing the traditional Kirana stores.",,14570321,"2023-10-02T05:48:12.662Z","","1knetworks.com","1knetworks","IN","501-1,000 employees","1K","Gurgaon, Haryana","2023-10-02T17:10:49.292Z",956,"https://www.linkedin.com/company/1knetworks/about/"
"21North leverages technology and innovation to revolutionise the Aftermarket Services in the Automobile Industry.

Through a unique product stack integrated with AI & ML, we not only enable our clients to provide seamless service to their customers but also digitise the entire process to enhance convenience, efficiency and transparency.  

Alongside offering Pick-up and Drop-off by trained professionals following all safety standards, we provide your customers with an easy way to track their vehicles at all stages, 24x7 Roadside assistance, detailed billing and an instant feedback & rating system. Ogranizations can also track, analyse and report the number of customers served, invoice amount, etc. 

So put us in the driver's seat and watch your profits drive through the roof!

If you are enthusiastic, energetic, and eloquent, nothing can stop you to apply for a position in a progressive organization, 21North EA. To apply for a full-time position or internship opportunity, mail us your resume at - careers@21north.in

Take a look at how 21North leverages tech and innovation: https://youtu.be/G-wma-W77og

Follow us on Facebook (@21NorthEuropAssistance) and Twitter (@21north_in)",,10046485,"2023-10-02T05:48:12.662Z","Doorstep Service, Vehicle Inspection, Live Tracking & Updates, Vehicle Pickup & Drop, White-labeled","21north.world","21north","SG","51-200 employees","21North Europ Assistance","Singapore","2023-10-02T17:10:49.292Z",277,"https://linkedin.com/company/21north/about"
"2adpro is a unique global design and technology services company that develops and delivers creative content, cost efficient implementation, and technology solutions to the worlds leading brands and media companies.

Our comprehensive Omni-channel solutions

Strategy - Business innovation, Process consulting, Social media strategy
Creative - Multichannel creative Concepts, Publication/Site design, App design
Digital - Ad product development, Audience management, Programmatic

Creative production - Digital display advertising (desktop, tablet, mobile) | Rich media | Interactive ads | Microsites/landing pages/e-mail | Video editing | Image services | Content management | Transcreation | Catalog production | Adaptations | Translations | Print ads | Collateral

Tech platform (JDX) - Work | Store | Distribute | Analyze

Ad operations - Ad trafficking | Quality Assurance | Reporting | Optimization

Our presence span across INDIA, US, UK and ANZ","Advertising Services",282687,"2023-10-02T05:48:12.662Z","Analytics, Display advertising, App development, Graphic Design, Campaign Management, Brand strategy, Media Planning, Responsive website design, programmatic, Advertising solutions, Digital Ad Operations, Rich media ads, Digital and Print ad production, Creative workflow platform, Digital Asset Management platform, Mobile advertising and targeting","2adpro.com","ad2pro-media-solutions-private-limited","IN","1,001-5,000 employees","Ad2pro media solutions (2adpro)","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",751,"http://linkedin.com/company/ad2pro-media-solutions-private-limited"
"3Dexter is a new-age educational technology company that has pioneered a 3D printing curriculum for educational institutions to enable students to develop visualization, problem solving, creative thinking, and spatial design skills; these skills are essential in most engineering, design and data science careers, and are considered the skills of the future.  

At 3Dexter we provide:

Classroom Sessions: The classroom model focuses on one-to-one learning outcome. The first of its kind in India, our 3D Printing curriculum encourages experimentation by making students work on engaging projects

Workshops: 3Dexter Workshops inspire enthusiasts to explore the world of third dimension. Workshops are designed for both basic and advanced categories. 

3D Printer Hardware and Lab Installation: Our team has created high quality 3D Printers for educational as well as industrial use. These reliable printers are cost effective and can be customized on demand. 

3D Printing Services:  We have been printing prototypes for various industries and our technology is advanced and reliable.",,13187042,"2023-10-02T05:48:12.662Z","Education, Education Technology, 3D Printing, Currculum Designing","3dexter.com","3dexter","IN","11-50 employees","3Dexter","Delhi, Delhi","2023-10-02T17:10:49.292Z",21,"https://linkedin.com/company/3dexter"
"4Fin is a Lending Platform catering to financial needs of MSMEs.",,75584242,"2023-10-02T05:48:12.662Z","","4fin.in","4finindia","IN","11-50 employees","4Fin","Pune, Maharashtra","2023-10-02T17:10:49.292Z",26,"https://in.linkedin.com/company/4finindia"
"56, is India's only connected security platform on a mission to create a safer world by making security effective & accessible to all. 

Currently, physical security is broken and works in silos with security surveillance systems. People feel unsafe when there is uncertainty. This compromises your security and safety. 

That's why we created a revolutionary app that works in real time and forms an active security system. Powered by deep technology, our platform integrates cutting-edge AI security cameras with real-time patrol guards to ensure peoples peace of mind with just one tap. With 56, you can manage the safety and security of all your loved ones and properties through one app. 

We deploy a network of Safety Agents around Bengaluru to ensure they can attend to an emergency SOS within 3 mins of you pressing the SOS button on our app. Our team of professionals have solved 5000+ SOS requests and have impacted 10000+ lives.

Our product is tailored to provide a customized security experience to individuals, homes, apartments, and businesses on the go. Our holistic system makes security simple yet effective. With 24x7 surveillance and real-time physical intervention under your control, 56 Secure lets you manage your security at your convenience. 

Ready to experience security like never before.
#GoFearlesswith56",,54292488,"2023-10-02T05:48:12.662Z","Home Security, surveillance, Security, Commercial Security, Physical security, Computer Vision, AI, Physical Security, Deep Learning, Industrial Security, Data Privacy, personal safety, camera surveillance, business security, apartment security, guard manpower technology, on-demand physical security intervention, Bodyguard app, Emergency SOS","56secure.com","56secure","IN","51-200 employees","56 Secure","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",142,"https://linkedin.com/company/56secure"
"91mobiles.com is the largest gadget site in India. We provide information & interactive tools to help people decide which gadget to buy and where to buy it from.
91mobiles is visited by over 40 million gadget enthusiasts every month, and ranks among the top 150 websites in India. We have a team of 100 people based in our offices in Gurgaon (HO), Delhi and Chennai.

We work with most of the leading electronics & telecom brands (Samsung, Oppo, Vivo, Nokia, OnePlus, etc.), as well as leading eCommerce companies (Amazon, Flipkart, TataCliq), to provide them with innovative ways to reach 91mobiles' gadget enthusiast community, to promote their products & offers.

Studies show that 60% of all gadgets sold are researched online before purchase. 91mobiles mission is to become the starting point & the best source for this research, in India and abroad.",,2889930,"2023-10-02T05:48:12.662Z","","91mobiles.com","91mobiles","IN","51-200 employees","91mobiles","Gurgaon, Haryana","2023-10-02T17:10:49.292Z",114,"https://linkedin.com/company/91mobiles/about"
